id	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
16078	genus	Porphyromonas	3	2	4			3.33	0.94	[2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
16079	genus	Teredinibacter	1	3	3			3.00	0.00	[3]
16080	genus	Gilliamella	1	4	4			4.00	0.00	[4]
16081	genus	Oxalobacter	1	1	2			1.50	0.00	[1, 2]
16082	genus	Methylomonas	4	3	3			3.00	0.00	[3, 3, 3, 3]
16083	genus	Zobellella	1	8	8			8.00	0.00	[8]
16084	genus	Marinithermus	1	3	3			3.00	0.00	[3]
16085	genus	Pedobacter	5	3	7			5.00	1.41	[5, 6, 4, 3, 7]
16086	genus	Roseateles	1	4	4			4.00	0.00	[4]
16087	genus	Cystobacter	1	4	4			4.00	0.00	[4]
16088	genus	Dyella	3	2	2			2.00	0.00	[2, 2, 2]
16089	genus	Geosporobacter	1	11	11			11.00	0.00	[11]
16090	genus	Coxiella	2	1	1			1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
16091	genus	Thalassococcus	1	1	1			1.00	0.00	[1]
16092	genus	Ndongobacter	1	3	3			3.00	0.00	[3]
16093	genus	Salipiger	1	4	4			4.00	0.00	[4]
16094	genus	Nitratireductor	2	1	2			1.50	0.50	[1, 2]
16095	genus	Candidatus Moranella	1	1	1			1.00	0.00	[1, 1]
16096	genus	Kushneria	2	4	4			4.00	0.00	[4, 4]
16097	genus	Jeotgalibacillus	1	9	9			9.00	0.00	[9]
16098	genus	Candidatus Nitrosotalea	1	1	1			1.00	0.00	[1]
16099	genus	Natronomonas	2	1	1			1.00	0.00	[1, 1]
16100	genus	Cryobacterium	2	3	3			3.00	0.00	[3, 3]
16101	genus	Filifactor	1	4	4			4.00	0.00	[4]
16102	genus	Asticcacaulis	1	3	3			3.00	0.00	[3]
16103	genus	Aeromonas	17	7	11			9.95	0.38	[9, 10, 10, 10, 10, 7, 9, 10, 10, 10, 10, 10, 10, 10, 10, 11, 10, 10, 10, 10, 9, 10, 10, 10, 10, 10, 11, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
16104	genus	Sulfurisphaera	1	1	1			1.00	0.00	[1]
16105	genus	Leptothrix	1	2	2			2.00	0.00	[2]
16106	genus	Clostridium	30	1	16			9.11	2.49	[12, 12, 12, 12, 12, 9, 9, 9, 9, 8, 8, 9, 9, 9, 11, 11, 9, 9, 9, 9, 10, 9, 8, 10, 8, 11, 11, 10, 9, 9, 9, 8, 9, 9, 9, 9, 8, 9, 9, 9, 9, 9, 9, 1, 9, 9, 9, 9, 10, 11, 11, 7, 7, 7, 11, 11, 11, 10, 4, 11, 9, 8, 12, 6, 4, 11, 11, 6, 10, 10, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 3, 11, 7, 9, 10, 10, 10, 10, 7, 9, 9, 9, 6, 16, 10, 8, 10, 10, 9, 14, 16, 14, 16, 14, 14, 15, 8, 10, 9, 9, 9]
16107	genus	Sorangium	1	4	4			4.00	0.00	[4, 4, 4]
16108	genus	Paraglaciecola	1	6	6			6.00	0.00	[6]
16109	genus	Halanaeroarchaeum	1	1	1			1.00	0.00	[1, 1]
16110	genus	Caldicellulosiruptor	8	3	3			3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3]
16111	genus	Hydromonas	1	4	4			4.00	0.00	[4]
16112	genus	Paeniclostridium	1	17	17			17.00	0.00	[17]
16113	genus	Methanocorpusculum	1	3	3			3.00	0.00	[3]
16114	genus	Glaciecola	2	4	5			4.50	0.50	[4, 5]
16115	genus	Leminorella	1	7	7			7.00	0.00	[7]
16116	genus	Sulfurimonas	2	4	4			4.00	0.00	[4, 4]
16117	genus	Cyanobacterium	1	3	3			3.00	0.00	[3]
16118	genus	Imtechella	1	3	3			3.00	0.00	[3]
16119	genus	Allobacillus	1	7	7			7.00	0.00	[7]
16120	genus	Frondibacter	1	3	3			3.00	0.00	[3]
16121	genus	Dolosigranulum	1	4	4			4.00	0.00	[4]
